Ingredient,Count
sugar,1.0 cup white sugar
sugar,1.5 cup white sugar
sugar,0.666666666667 cup white sugar
sugar,0.25 cup white sugar
sugar,3.42857142857 cups white sugar
sugar,0.666666666667 cup white sugar
sugar,1.5 cup white sugar
sugar,0.75 cup sugar
sugar,1.33333333333 cup white sugar
sugar,1.33333333333 cup white sugar
sugar,1.5 cup white sugar
sugar,1.0 cup white sugar
sugar,1.0 cup white sugar
sugar,0.75 cup white sugar
sugar,1.5 cup white sugar
sugar,1.5 cups white sugar
sugar,0.8 cup white sugar
sugar,0.4 cup white sugar
sugar,0.333333333333 cup white sugar
sugar,1.33333333333 cup white sugar
sugar,1.2 cup white sugar
sugar,1.0 cup white sugar
sugar,0.444444444444 cup white sugar
sugar,2.4 cup white sugar
sugar,0.75 cup white sugar
sugar,0.666666666667 cup white sugar
sugar,0.571428571429 cup white sugar
sugar,0.727272727273 cup white sugar
sugar,1.33333333333 cup white sugar
sugar,0.428571428571 cup white sugar
sugar,1.2 cup white sugar
sugar,1.0 cup white sugar
sugar,0.25 cup white sugar
sugar,0.444444444444 cup white sugar
sugar,0.25 cup white sugar
sugar,1.0 cup white sugar
sugar,1.0 cup white sugar
sugar,12.0 tablespoons white sugar
sugar,0.666666666667 cup white sugar
sugar,1.0 cup white sugar
sugar,2.0 cups white sugar
sugar,0.666666666667 cup white sugar
sugar,1.14285714286 cups white sugar
sugar,0.25 cup white sugar
sugar,0.8 cup white sugar
sugar,1.0 cup white sugar
sugar,3.0 cups white sugar
sugar,0.333333333333 cup white sugar
sugar,1.0 cup white sugar
sugar,0.4 cup white sugar
sugar,1.8 cup white sugar
sugar,0.6 cup white sugar
sugar,1.5 cup white sugar
sugar,0.8 cup white sugar
sugar,0.8 cup white sugar
sugar,0.75 cup white sugar
sugar,1.42857142857 cups white sugar
sugar,1.33333333333 cup white sugar
sugar,0.333333333333 cup white sugar
sugar,2.0 cups white sugar
sugar,0.571428571429 cup white sugar
sugar,0.8 cup white sugar
sugar,1.14285714286 cup white sugar
sugar,1.33333333333 cup white sugar
sugar,0.4 cup white sugar
sugar,0.666666666667 cup white sugar
sugar,1.25 cups white sugar
sugar,1.33333333333 cup white sugar
sugar,0.738461538462 cups white sugar
sugar,0.333333333333 cup white sugar
sugar,1.0 cup white sugar
sugar,1.33333333333 cups white sugar
sugar,0.4 cup white sugar
sugar,1.2 cup white sugar
sugar,8.0 tablespoons white sugar
sugar,1.0 cup white sugar
sugar,1.0 cup white sugar
sugar,0.75 cup white sugar
sugar,0.75 cup sugar
sugar,2.0 cup white sugar
sugar,0.666666666667 cup white sugar
sugar,1.0 cup white sugar
sugar,0.285714285714 cup white sugar
sugar,3.0 cups white sugar
sugar,1.5 cups white sugar
sugar,0.666666666667 cup white sugar
sugar,1.8 cup white sugar
sugar,1.0 cups white sugar
sugar,0.5 cup white sugar
sugar,0.8 cup white sugar
sugar,0.444444444444 cup white sugar
sugar,0.8 cup white sugar
sugar,1.2 cups white sugar
sugar,0.8 cup white sugar
sugar,1.0 cup white sugar
sugar,0.5 cup white sugar
sugar,0.666666666667 cup white sugar
sugar,0.666666666667 cup white sugar
sugar,0.8 cup white sugar
sugar,1.0 cup white sugar
sugar,1.0 cup white sugar
sugar,0.24 cup white sugar
sugar,1.25 cups white sugar
sugar,0.0952380952381 cup white sugar
sugar,2.0 cup white sugar
sugar,0.571428571429 cup white sugar
sugar,0.9 cup white sugar
sugar,2.5 cups white sugar
sugar,1.0 cup white sugar
sugar,2.5 cups white sugar
sugar,1.0 cups white sugar
sugar,0.8 cup white sugar
sugar,2.0 cup white sugar
sugar,1.0 cup white sugar
sugar,0.428571428571 cups white sugar
sugar,12.0 tablespoons white sugar
sugar,1.5 cup white sugar
sugar,1.5 cup white sugar
sugar,1.0 cup white sugar
sugar,1.5 cup white sugar
sugar,0.75 cup white sugar
sugar,0.75 cup white sugar
sugar,0.5 cup white sugar
sugar,1.0 cup white sugar
sugar,1.33333333333 cup white sugar
sugar,0.666666666667 cup white sugar
sugar,0.5 cup white sugar
sugar,1.5 cup white sugar
sugar,1.5 cup white sugar
sugar,1.0 cup white sugar
sugar,2.66666666667 cup white sugar
sugar,3.0 cup white sugar
vanilla extract,2.0 teaspoons vanilla extract
vanilla extract,2.18181818182 teaspoons vanilla extract
vanilla extract,2.0 tablespoon vanilla extract
vanilla extract,4.0 teaspoons vanilla extract
vanilla extract,4.0 teaspoon vanilla extract
vanilla extract,2.0 teaspoons vanilla extract
vanilla extract,1.33333333333 teaspoons vanilla extract
vanilla extract,3.0 tablespoon vanilla extract
